"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-01",,,,,"0.10","2.0","29.0","38","25","25",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-02",,,,,"0.43","3.0","34.0","27","18","18",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-03",,,,,"0.09","1.0","30.0","27","12","18",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-04",,,,,"0.00","0.0","30.0","31","18","27",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-05",,,,,"0.00","0.0","30.0","34","26","34",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-06",,,,,"0.06","1.0","30.0","42","12","12",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-07",,,,,"0.26","4.0","32.0","21","13","13",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-08",,,,,"0.40","6.0","34.0","20","11","19",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-09",,,,,"1.08","9.0","38.0","28","12","24",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-10",,,,,"3.08","19.0","55.0","30","16","27",,"    1",,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-11",,,,,"1.89","12.0","62.0","30","-5","4",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-12",,,,,"0.93","7.0","56.0","32","4","30",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-13",,,,,"1.12","6.0","60.0","33","31","32",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-14",,,,,"1.00","4.0","61.0","40","26","26",,"    1",,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-15",,,,,"2.20","17.0","69.0","28","21","24",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-16",,,,,"0.12","1.0","64.0","35","24","24",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-17",,,,,"0.20","2.0","60.0","32","22","26",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-18",,,,,"0.70","5.0","64.0","30","20","23",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-19",,,,,"0.46","5.0","64.0","29","17","20",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-20",,,,,"0.00","0.0","61.0","31","15","18",,,,,,
"USC00420072","ALTA, UT US","40.5905","-111.6369","2660.9","1980-01-21",,,,,"0.00","0.0","60.0","34","16","21",,,,,,
